what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288180404946
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288180416287
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288180418393
activated,editor,org.eclipse.emf.ecore.editor,2.6.0.v20100914-1218,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1288180420281
activated,editor,org.eclipse.graphiti.ui,0.7.0.v20101005-1338,"org.eclipse.graphiti.ui.editor.DiagramEditor",1288180428518
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288180429423
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288180429579
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1288180429610
activated,editor,org.eclipse.emf.ecore.editor,2.6.0.v20100914-1218,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1288180431201
activated,editor,org.eclipse.graphiti.ui,0.7.0.v20101005-1338,"org.eclipse.graphiti.ui.editor.DiagramEditor",1288180436567
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288180438471
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288180548030
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288180564300
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288180651239
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288180653439
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288180655451
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288180655514
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288180655670
activated,editor,org.eclipse.emf.ecore.editor,2.6.0.v20100914-1218,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1288180655748
closed,editor,org.eclipse.graphiti.ui,0.7.0.v20101005-1338,"org.eclipse.graphiti.ui.editor.DiagramEditor",1288180655779
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1288180658993
activated,editor,org.eclipse.emf.ecore.editor,2.6.0.v20100914-1218,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1288180668961
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1288180669055
closed,editor,org.eclipse.emf.ecore.editor,2.6.0.v20100914-1218,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1288180669070
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1288180670724
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288180670880
started,bundle,org.eclipse.acceleo.ide.ui,3.0.1.v201009150438,"org.eclipse.acceleo.ide.ui",1288180673579
started,bundle,org.eclipse.emf.mint,0.9.0.v201006142335,"org.eclipse.emf.mint",1288180673594
started,bundle,org.eclipse.emf.mint.ui,0.9.0.v201006142335,"org.eclipse.emf.mint.ui",1288180673594
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288180673828
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1288180673828
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1288180673828
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288180675591
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288180682471
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288180684920
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288180685981
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1288180686105
opened,editor,org.eclipse.emf.ecore.editor,2.6.0.v20100914-1218,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1288180688258
activated,editor,org.eclipse.emf.ecore.editor,2.6.0.v20100914-1218,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1288180688274
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1288180692158
closed,editor,org.eclipse.emf.ecore.editor,2.6.0.v20100914-1218,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1288180692174
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1288180694982
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1288180695341
stopped,bundle,org.eclipse.mylyn.pde.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.pde.ui",1288180695341
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1288180695341
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20100601,"org.eclipse.pde.ds.ui",1288180695356
stopped,bundle,org.eclipse.pde.runtime,3.4.200.v20100601,"org.eclipse.pde.runtime",1288180695356
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20100504,"org.eclipse.pde.ua.ui",1288180695356
stopped,bundle,org.eclipse.pde.ui.templates,3.4.200.v20100601,"org.eclipse.pde.ui.templates",1288180695356
stopped,bundle,org.eclipse.pde.ui,3.6.1.v20100810_r361,"org.eclipse.pde.ui",1288180695356
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1288180695356
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1288180695356
stopped,bundle,org.eclipse.acceleo.compatibility.ui,3.0.1.v201009150438,"org.eclipse.acceleo.compatibility.ui",1288180695356
